Name,Cuisine,Location,rating,num_of_rating,price_for_two
Getawhey - Healthy Ice Creams.,"Ice Cream, Healthy Food","Connaught Place, Connaught Place",4,20,250
Shree Guru Vashishth,"Pizzas, North Indian","Karol Bagh, Karol Bagh",4,100,229
Kashmir Sweet Shop,"North Indian, Tandoor","Paharganj, Paharganj",4,100,200
Maa Bhagwati,North Indian,"Paharganj, Paharganj",4,50,500
Home Plate By Eatfit,"North Indian, Home Food","Chuna Mandi Paharganj, Gole Market",4,100,160
Eatfit,"Healthy Food, Pizzas","Laxmi Narain Street, Karol Bagh",4,100,270
Barbeque Nation,"North Indian, Barbecue","Munshi Lal Building, Connaught Place, Connaught Place",4,100,600
Depaul'S,Chinese,"Connaught Place, Connaught Place",4,100,200
Rajdhani,"Rajasthani, Thalis","Scindia House, Connaught Place",4,100,1050
Biryani Badshah,"Biryani, Mughlai","Baba Kharak Singh Rd, Connaught Place",4,500,350
Starbucks Coffee,"Beverages, Ice Cream","Hamilton House, Connaught Place",4,100,400
Bikkgane Biryani,"Biryani, Mughlai","Opposite Pvr Rivoli, Connaught Place",4,1000,400
The 2Nd Wife,North Indian,"Shahdara, Krishna Nagar",3.9,20,180
Rolls King,Indian,"Gtb Nagar, Gtb Nagar",3.9,100,300
Bhalla King,"Fast Food, Chaat","Lajpat Nagar, Lajpat Nagar",3.9,100,150
Puran Dhaba,"North Indian, Fast Food","Ashok Vihar, Ashok Vihar",3.9,50,200
Begum Jaan By Hudson ,"North Indian, Mughlai","Gtb Nagar, Gtb Nagar",3.9,100,500
Asia Bowl Co.,"Chinese, Thai","Gtb Nagar, Gtb Nagar",3.9,100,250
Punjabi Tikka Junction,"North Indian, Punjabi","Laxmi Nagar, Geeta Colony",3.9,50,300
Chinese Veg Crunch,Chinese,"Ashok Vihar, Ashok Vihar",3.9,100,300
Shyam Chaat Bhandar,"Snacks, Street Food","Vijay Nagar, Vijay Nagar",3.9,100,150
Kc Restaurant,"Chinese, Asian","South Campus, Moti Bagh",3.9,100,250
Grameen Kulfi,"Ice Cream, Desserts","Shakarpur, Shakarpur Khas",3.9,20,120
Rollsking,"Fast Food, North Indian","Flyover Market Defence Colony, Lajpat Nagar",3.9,500,250
Hot N Cool,"Fast Food, Italian","Laxmi Nagar, Laxmi Nagar",3.9,20,200
Bobby Tikki Wala,Fast Food,"Laxmi Nagar, Laxmi Nagar",3.9,100,400
Apni Rasoi,"North Indian, Chinese","Pandav Nagar, Patparganj",3.9,1000,200
Wrapss Kathi Rolls,"Fast Food, Snacks","North Extension Area, Rajinder Nagar, Karol Bagh",3.9,1000,200
Nandlal Ka Dhaba,"North Indian, Mughlai","Daryaganj, Daryaganj",3.9,100,250
Lazeez Kebab & Curries,"North Indian, Chinese","Old Rajender Nagar, Old Rajinder Nagar, Rajinder Nagar",3.9,1000,400
Arya Bhavan,"South Indian, Beverages","Karol Bagh, Karol Bagh",3.9,100,400
Al Yamin,"Mughlai, Biryani","Old Delhi, Jama Masjid, Old Delhi",3.9,100,300
Sachdeva'S  Multi Cuisine Joint,"Chinese, North Indian","Mirdad Road, Barakhamba",3.9,20,149
Tadka 4986,"North Indian, Chinese","Nehru Bazaar, Paharganj, Paharganj",3.9,50,500
Wow! Momo,"Tibetan, Healthy Food","New Delhi Railway Station, Connaught Place",3.9,500,300
Lazeez Affaire,"Indian, Chinese","Connaught Place, Connaught Place",3.9,20,300
Rooh Burger Cafe,"American, Fast Food","Connaught Place, Connaught Place",3.9,500,200
Bhape Da Hotel,North Indian,"Connaught Place, Barakhamba",3.9,100,850
Lazeez Kebab & Curries,"North Indian, Chinese","Old Rajender Nagar, Old Rajinder Nagar, Rajinder Nagar",3.9,1000,400
Arya Bhavan,"South Indian, Beverages","Karol Bagh, Karol Bagh",3.9,100,400
Al Yamin,"Mughlai, Biryani","Old Delhi, Jama Masjid, Old Delhi",3.9,100,300
Sachdeva'S  Multi Cuisine Joint,"Chinese, North Indian","Mirdad Road, Barakhamba",3.9,20,149
Tadka 4986,"North Indian, Chinese","Nehru Bazaar, Paharganj, Paharganj",3.9,50,500
Wow! Momo,"Tibetan, Healthy Food","New Delhi Railway Station, Connaught Place",3.9,500,300
Lazeez Affaire,"Indian, Chinese","Connaught Place, Connaught Place",3.9,20,300
Rooh Burger Cafe,"American, Fast Food","Connaught Place, Connaught Place",3.9,500,200
Bhape Da Hotel,North Indian,"Connaught Place, Barakhamba",3.9,100,850
Embassy,Indian,"Connaught Place, Connaught Place",3.9,20,1400
Handi Chhadeyan Di (Since 2012),"North Indian, Chinese","Connaught Place, Cannaught Place",3.9,100,250
Nazeer Foods,"North Indian, Biryani","Cannaught Place, Connaught Place",3.9,100,400
Sagar Ratna,"South Indian, North Indian","Outer Circle, Connaught Place",3.9,100,600
Bikanervala,"North Indian, Snacks","Connaught Place, Connaught Place",3.9,100,300
Kfc,"American, Snacks","Connaught Place, Connaught Place",3.9,100,400
Jain Chawal Wale,"North Indian, Snacks","Connaught Place, Connaught Place",3.9,100,250
Paranthe Wali Gali,"Home Food, North Indian","Hauz Khas Delhi, South Campus",3.8,100,200
The Hudson Cafe,"Italian, American","Hudson Lane, Gtb Nagar",3.8,100,500
Batra'S Tandoori Night,North Indian,"Laxmi Nagar, Geeta Colony",3.8,20,800
Big Yellow Door,"Italian, Continental","2Nd Floor, Hudson Lane, Hudson Lane",3.8,50,400
The Yellow Bowl ,"Chinese, Fast Food","Patparganj Rd, Krishna Nagar, Geeta Colony",3.8,100,300
Pind Balluchi,"Mughlai, North Indian","Central Market, Lajpat Nagar, Lajpat Nagar",3.8,100,400
Sanjay Chur Chur Naan,North Indian,"Moolchand Meetro Station, Lajpat Nagar",3.8,100,300
Handi Biryani Junction,"North Indian, Biryani","Gtb Nagar, Vijay Nagar",3.8,100,400
The Belgian Waffle Co.,"Desserts, Beverages","Hudson Lane, Gtb Nagar",3.8,100,200
Cafe Lucid,"South Indian, North Indian","Gtb Nagar, Vijay Nagar",3.8,20,150
Cake Crush,Bakery,"Cc Colony, Kalyan Vihar",3.8,20,500
Bombay Canteen,"Opens Next At 9:30 Am, Tomorrowindian","Lajpat Nagar, Lajpat Nagar",3.8,20,149
Nh1 Bowls - Highway To North,"North Indian, Punjabi","Laxmi Nagar, Laxmi Nagar",3.8,20,250
Friends Kitchen,"North Indian, Mughlai","Gujranwala Town, Ashok Vihar",3.8,20,400
Aamantran Bangla,Bengali,"Pandav Nagar, Patparganj",3.8,50,150
Delhi6 Bedmi Poori,"North Indian, Snacks","Lajpat Nagar, Lajpat Nagar",3.8,20,100
Eataliano-The Gourmet Pizzeria,Italian,"Nagar, Laxmi",3.8,20,350
Unmarried Kitchen - Value Meals And Combos,"North Indian, Punjabi","Preet Vihar, East, Laxmi Nagar",3.8,50,300
Nathu'S Sweets,"Sweets, Bakery","Vivek Marg, Laxmi Nagar",3.8,100,300
Champaran Kitchen,"Indian, Seafood","Laxmi Nagar, Shakarpur Khas",3.8,50,300
Bikaner Sweets & Snacks,Sweets,"Laxmi Nagar, Laxmi Nagar",3.8,20,300
Bikaneri Sweets Corner,"Sweets, Desserts","Laxmi Nagar, Shakarpur",3.8,50,150
Dhading Ktm,Chinese,"Lalita Park, Laxmi Nagar",3.8,100,300
La Pino'Z Pizza,"Italian, Pizzas","Laxmi Nagar, Laxmi Nagar",3.8,1000,350
Al Kadeer Chicken Corner,Mughlai,"Mother Dairy Road, Shakarpur Khas",3.8,100,250
Annie'S Kerala Kitchen,"Kerala, South Indian","Karol Bagh, Patel Nagar",3.8,100,300
Om Ji Om,"North Indian, Fast Food","Netaji Subhash Market, Karol Bagh",3.8,100,500
Mom'S Kitchen,"North Indian, Chinese","Karol Bagh, Karol Bagh",3.8,100,200
Karim'S Jama Masjid,"Mughlai, North Indian","Old Delhi, Jama Masjid",3.8,100,400
Classic Chicken,"Indian, Beverages","Connaught Place, Gole Market",3.8,50,300
Giani,Ice Cream,"Gole Market, Gole Market",3.8,50,300
The Burger Club,"American, Beverages","Main Market, Karol Bagh",3.8,1000,250
Om Ji Om,"North Indian, Fast Food","Netaji Subhash Market, Karol Bagh",3.8,100,500
Mom'S Kitchen,"North Indian, Chinese","Karol Bagh, Karol Bagh",3.8,100,200
Karim'S Jama Masjid,"Mughlai, North Indian","Old Delhi, Jama Masjid",3.8,100,400
Classic Chicken,"Indian, Beverages","Connaught Place, Gole Market",3.8,50,300
Giani,Ice Cream,"Gole Market, Gole Market",3.8,50,300
The Burger Club,"American, Beverages","Main Market, Karol Bagh",3.8,1000,250
Thalassery Restaurant,"North Indian, Indian","Karol Bagh, Paharganj",3.8,100,200
Shri Hari Vaishnav Dhaba,"North Indian, Thalis","Ndmc Market, Mandi House",3.8,20,200
Zen,"Chinese, Pan-Asian","B Block, Connaught Place",3.8,20,700
Wat-A-Burger! - India Ka Burger,"American, Indian","Connaught Place, Connaught Place",3.8,100,200
Burgrub,"American, Fast Food","Connaught Place, Connaught Place",3.8,100,350
Nirula'S,"Pizzas, Pastas","M-Block Connaught Place, Connaught Place",3.8,100,300
Pind Balluchi - Janpath,"North Indian, Mughlai","Janpat, Connaught Place",3.8,100,400
Punjab Grill,Indian,"Janpath, Janpath",3.8,50,900
Popular Chicken (Murga Market),"North Indian, Mughlai","Murga Market, Ashok Vihar",3.7,100,400
Dosai Bhavan,"Indian, Chinese","Laxmi Nagar, Krishna Nagar",3.7,20,150
Winner Pizzas (Fresh Dough),"Pizzas, Italian","South Extension, South Extension",3.7,100,300
Shri Hari Restaurant,"North Indian, Thalis","Lajpat Nagar, Lajpat Nagar",3.7,100,300
Shri Sai Rasoi,"North Indian, South Indian","Gurudwara Road, South Extension I",3.7,50,200
Ranch And Pepper,"American, Italian-American","Defence Colony, Defence Colony",3.7,20,450
Aashirwad Restaurant,North Indian,"Mangal Bazar Road, Laxmi Nagar",3.7,50,400
Capri Wings,"Italian, Mexican","South Extension, Defence Colony",3.7,20,400
Chef Joint,"North Indian, Chinese","Jangpura Extension, Block B",3.7,100,200
Indian Taste,"Indian, Chinese","Mayur Vihar, Laxmi Nagar",3.7,20,149
Joshi Eating House,"Indian, Beverages","Shakarpur, Shakarpur Khas",3.7,20,200
Champaran Meat House,Indian,"Laxmi Nagar, Laxmi Nagar",3.7,100,300
Rominus Pizza And Burger,"Pizzas, Italian","Laxmi Nagar, Laxmi Nagar",3.7,500,150
La Milano Pizzeria,"Italian, Pizzas","Rajinder Nagar, Rajinder Nagar",3.7,100,500
Shawarma Kings,"Lebanese, Chinese","Apsara Arcade, Rajinder Nagar",3.7,500,200
Chowringhee,"Closes Soonindian, Chinese","China Market,Karol Bagh, Karol Bagh",3.7,1000,250
Krishna Dhaba,North Indian,"Karol Bagh, Paharganj",3.7,50,200
Punjabi Chaska,"Thalis, Indian","Karol Bagh, Paharganj",3.7,20,200
Tandoori Handi (Since 1999) ,"North Indian, Chinese","Connaught Place, Connaught Place",3.7,100,250
Slice,"Pizzas, Continental","Connaught Place, Connaught Place",3.7,20,200
Subway,"Salads, Snacks","M Block, Connaught Place",3.7,100,350
Jack Rolls,"Fast Food, Street Food","Gtb Nagar, Delhi University-Gtb Nagar",3.6,100,150
Green Dot Pizza,"Pizzas, Italian","Gtb Nagar, Gtb Nagar",3.6,100,300
Punjabi Big Meals,"North Indian, Fast Food","Phase 3, Ashok Vihar",3.6,50,200
Punjabi'S Veg Grill ( Jheel Wale ),"North Indian, Tandoor","Jheel Khuranja, Geeta Colony",3.6,100,350
Jvs,"Snacks, Fast Food","South Campus, South Campus",3.6,50,300
Wood Box Cafe,"Continental, American","Edward Lane, Vijay Nagar",3.6,100,400
Kaveri Food,North Indian,"Gtb Nagar , Delhi, Hudson Lane",3.6,50,200
Saleem'S Restaurant,North Indian,"Flyover Market, Defence Colony",3.6,50,600
Piu Pizza Hut,"Italian, Pizzas","Laxmi Nagar, Laxmi Nagar",3.6,20,200
Pizza Studio,"Pizzas, Pastas","Mayur Vihar Phase 1, Nirman Vihar",3.6,100,400
Kailash Ji Rasoi,Indian,"South Extension, South Extension I",3.6,20,299
Make My Thali By Punjabi Tadka,"North Indian, Chinese","Laxmi Nagar, Mangal Bazar",3.6,500,200
Om Sai South Indian Dosa,"South Indian, Indian","Pandav Nagar, Patparganj",3.6,100,150
Piu Pizza Hut,"Italian, Pizzas","Laxmi Nagar, Laxmi Nagar",3.6,20,200
Pizza Studio,"Pizzas, Pastas","Mayur Vihar Phase 1, Nirman Vihar",3.6,100,400
Kailash Ji Rasoi,Indian,"South Extension, South Extension I",3.6,20,299
Make My Thali By Punjabi Tadka,"North Indian, Chinese","Laxmi Nagar, Mangal Bazar",3.6,500,200
Om Sai South Indian Dosa,"South Indian, Indian","Pandav Nagar, Patparganj",3.6,100,150
Roms Pizza,"Pizzas, Italian-American","Laxmi Nagar, Shakarpur Khas",3.6,100,250
Riyaz Biryani Corner,"North Indian, Mughlai","Shakurpur, Shakarpur Khas",3.6,1000,450
Karim'S,Indian,"Laxmi Nagar, Shakarpur Khas",3.6,50,499
Wrap & Roll,"Fast Food, Chinese","Apsara Arcade, North Extension Area, Rajinder Nagar",3.6,500,400
New Janta Dhaba,Indian,"Karol Bagh, Paharganj",3.6,50,300
Delhi Darbar Dhaba,"North Indian, Chinese","Ndmc Market, Mandi House",3.6,50,400
Dayal Dhaba,North Indian,"34 Baird Lane, Gole Market",3.6,100,200
Mezbaan Biryani,"Indian, Biryani","Paharganj, Mukherjee Nagar",3.5,100,250
Chaap Kitchen,"Opens Next At 12 Noon, Tomorrownorth Indian, Chinese","Amar Colony, Lajpat Nagar",3.5,20,300
Shudh Vaishno Dhaba,"North Indian, Thalis","Gtb Nagar, Gtb Nagar",3.5,20,100
Best Muradabadi Biryani,"Biryani, Mughlai","Gtb Nagar, Mukherjee Nagar",3.5,100,250
Chawla Refreshment,"Beverages, Ice Cream","Main Road Geeta Colony East Delhi
, Krishna Nagar",3.4,20,150
Delhi Wah Ji Wah,"Tandoor, Snacks","Gtb Nagar, Vijay Nagar",3.4,20,200
Metro Fast Food,Chinese,"Delhi University-Gtb Nagar, New Delhi",3.4,20,150
Dallcheeni,Indian,"Vijay Nagar, Kalyan Vihar",3.4,20,300
Chander Dhaba,North Indian,"Mathura Road, Sunlight Colony",3.4,50,200
Mad Over Momos,"Chinese, Indian","Yashwant Place, Chanakyapuri",3.4,20,500
U Like,North Indian,"Paharganj, Paharganj",3.4,20,250
Gupta Foods,"North Indian, Chinese","Middle Circle, Connaught Place",3.4,20,300
Mehfil Biryani By Zakir Khan,"Biryani, Mughlai","Kirti Nagar, Kirti Nagar",3.3,20,350
Krishna Fast Food Center,"Chinese, Fast Food","Ashok Vihar Delhi, Ashok Vihar",3.3,50,250
Prince  Point,"Indian, Chinese","Laxmi Nagar, Krishna Nagar",3.3,20,200
Prince Cafe,"Fast Food, South Indian","Krishna Nagar, Krishna Nagar",3.3,50,200
Moti Mahal Delux Legendary Culinary,"Mughlai, North Indian","South Extension Ii, South Extension Ii",3.3,20,1200
Tandoori Tadka,"North Indian, Chinese","Defence Enclave, Swasthya Vihar",3.3,50,250
Garhwal Mahak Chinese Food,North Indian,"South Extension, Ina Colony",3.3,20,300
Bihar Dhaba,North Indian,"Mayur Vihar, Patparganj",3.3,20,200
Wok 88,Chinese,"Lajpat Nagar-1, Lajpat Nagar",3.3,20,500
Grill Out Tandoor And Fast Food,"Tandoor, Chinese","Shakarpur, Shakarpur",3.3,20,350
Ram Ji Samose Wala,Snacks,"Laxmi Nagar, Shakarpur Khas",3.3,100,150
Chaubara,"Continental, Italian","Connaught Place, Connaught Place",3.3,20,250
Gupta Restaurant,"North Indian, South Indian","Gole Market, Gole Market",3.3,100,200
Burger Bites,"Chinese, Continental","Ashok Vihar, Ashok Vihar",3.2,20,300
Ghoomar Traditional Thali Restaurant,Indian,"Connaught Place, Connaught Place",3.2,50,700
Hira Sweet Lal Quarter,"Sweets, Snacks","Laxmi Nagar, Laxmi Nagar",3.1,20,250
Super Subs,"Desserts, Salads","Gtb Nagar, Mukherjee Nagar",3.1,20,300
Hot & Spot Fast Food,"Chinese, Fast Food","Gtb Nagar, Gtb Nagar",3.1,20,200
Aggarwal Sweets,"Snacks, Sweets","Shahdara, Shahdara",3.1,20,200
Bewafa Biryani Wala,"Chinese, North Indian","Mayur Vihar, Vinod Nagar North",3.1,20,200
Shin Shin Chinese,"Chinese, Oriental","Gtb, Delhi University-Gtb Nagar",3,100,200
Noor Hyderabadi,Indian,"Gtb Nagar, Mukherjee Nagar",3,20,250
Dah,Desserts,"Defence Colony, Defence Colony",3,20,400
Gulati'S Kitchen,"North Indian, Snacks","Connaught Place, Connaught Place",3,20,200
Super Subs,"Desserts, Salads","Gtb Nagar, Mukherjee Nagar",3.1,20,300
Hot & Spot Fast Food,"Chinese, Fast Food","Gtb Nagar, Gtb Nagar",3.1,20,200
Aggarwal Sweets,"Snacks, Sweets","Shahdara, Shahdara",3.1,20,200
Bewafa Biryani Wala,"Chinese, North Indian","Mayur Vihar, Vinod Nagar North",3.1,20,200
Shin Shin Chinese,"Chinese, Oriental","Gtb, Delhi University-Gtb Nagar",3,100,200
Noor Hyderabadi,Indian,"Gtb Nagar, Mukherjee Nagar",3,20,250
Dah,Desserts,"Defence Colony, Defence Colony",3,20,400
Gulati'S Kitchen,"North Indian, Snacks","Connaught Place, Connaught Place",3,20,200
Spices Of South,"Fast Food, South Indian","Laxmi Nagar, Krishna Nagar",2.9,50,150
Chinese Potli,Indian,"Laxmi Nagar, Krishna Nagar",2.9,20,80
Dosto Di Hatti,North Indian,"Laxmi Nagar, Kailash Nagar",2.9,20,75
Bikaner Sweets,"Desserts, Fast Food","Laxmi Nagar, Geeta Colony",2.9,50,430
Cake Room,"Fast Food, Bakery","Kishan Gunj, Laxmi Nagar",2.9,20,250
The Biryani Inc,"Biryani, Beverages","Mayur Vihar, Vinod Nagar North",2.8,20,200
Hari Om Chaapwala,"Indian, Thalis","Mayur Vihar, Mayur Vihar",2.8,50,150
Vaishnav Dhaba,North Indian,"Lajpat Nagar, Sunlight Colony",2.7,20,250
Hello G Sas Kitchen,"Biryani, Indian","Paharganj, Delhi",2.3,500,250
Ham Burger,Beverages,"Gtb Nagar, Mukherjee Nagar",2.2,20,150
Big Fat Rollz,"Street Food, Fast Food","Dwarka Mor, Kirti Nagar Industrial Area, Kirti Nagar",,5,200
Vishnu Pizza Point,Indian,"Laxmi Nagar, Laxmi Nagar",,5,300
Flavors Of Delhi,"Opens Next At 4:30 Pm, Todaynorth Indian, Fast Food","South Extension, South Extension",,5,300
Yaara Da Adda,"Chinese, Indian","Laxmi Nagar, Krishna Nagar",,5,250
Shah Ji Kulcha,"Snacks, Tandoor","Krishna Nagar, Krishna Nagar",,5,200
Mahak Vada Pav,"Street Food, Snacks","Laxmi Nagar, Laxmi Nagar",,5,200
Jack In The Box,"Street Food, Snacks","Laxmi Nagar, Laxmi Nagar",,5,250
Mall Of Food,"Indian, Chinese","Gtb Nagar, Gujranwala Town",,5,200
Tks Oriental Grill - Hyatt Regency,Japanese,"R.K Puram, Rama Krishna Puram",,5,600
Revathi'S Fusion Kitchen..,"Opens Next At 5 Pm, Todayindian","South Extension, South Extension",,5,300
Chah Shala,"Italian-American, Fast Food","Gtb Nagar, Gtb Nagar",,5,250
The China Kitchen - Hyatt Regency,Chinese,"R.K Puram, South Campus",,5,600
D3 - Dhaba Dilli Da,Indian,"Gtb Nagar, Gtb Nagar",,5,250
Prince Fast Food,Indian,"Laxmi Nagar, Krishna Nagar",,5,400
Rock N' Roll Restro,"Italian-American, Chinese","Laxmi Nagar, Laxmi Nagar",,5,200
Cafe - Hyatt Regency,"Indian, American","R.K Puram, Rama Krishna Puram",,5,600
Sidewalk - Hyatt Regency,"Bakery, Desserts","R.K Puram, Rama Krishna Puram",,5,600
Spoon Full Of Flavors,Indian,"Ashok Vihar, Ashok Vihar",,5,250
La Piazza - Hyatt Regency Delhi,Italian,"R.K Puram, Rama Krishna Puram",,5,600
Rock N Roll Cafe,"Snacks, Fast Food","Laxmi Nagar, Laxmi Nagar",,5,200
Butter Chicken Babe,"North Indian, Biryani","Lajpat Nagar, Lajpat Nagar",,5,500
El Bueno Coffee Roasters,Beverages,"Kirti Nagar, Kirti Nagar",,5,500
Radhey Krishna Choley Bhature,"Opens Next At 8:30 Am, Tomorrownorth Indian, Punjabi","Kirti Nagar, Kirti Nagar",,5,150
Punjabi By Nature,Indian,"Kirti Nagar Industrial Area, Kirti Nagar",,5,1300
Amritsari Break Fast Hut,"Opens Next At 8:30 Am, Tomorrowpunjabi","Laxmi Nagar, Laxmi Nagar",,5,150
Desi Swaad Restaurant,North Indian,"Ashok Vihar, Ashok Vihar",,5,300
The Cafe Finom,"Continental, Chinese","Gtb Nagar, Mukherjee Nagar",,5,300
The 3 Storey Multicuisine Restaurant,Indian,"Krishna Nagar, Laxmi Nagar",,5,400
Super Express,"South Indian, Chinese","Laxmi Nagar, Laxmi Nagar",,5,100
Mathura Veg Biryani,Biryani,"Laxmi Nagar, Laxmi Nagar",,5,200
Chinese Byte,"Chinese, Indian","Laxmi Nagar, Krishna Nagar",,5,200
Pizza Never Lies,"Pizzas, Desserts","South Campus, South Campus",,5,350
Uncle Cake & Bake,"Bakery, Snacks","Laxmi Nagar, Laxmi Nagar",,5,150
Rajasthani Ice Cream & Paw Bhaji,"Ice Cream, Desserts","Laxmi Nagar, Laxmi Nagar",,5,350
The Cheesy Story,"Fast Food, Beverages","Lajpat Nagar, Lajpat Nagar",,5,350
Momos World,"Chinese, Fast Food","Ashok Vihar, Ashok Vihar",,5,300
Chill Maaro,"Fast Food, Chinese","Ashok Vihar, Ashok Vihar",,5,200
Badshah Pao Bhaji,Indian,"Ashok Vihar, Ashok Vihar",,5,300
Ludo Lalit,"Chinese, American","Ashok Vihar, Ashok Vihar",,5,300
Chakhna Lo India,"Indian, Snacks","Kirti Nagar, Inderpuri",,5,350
Momos Hub,Chinese,"Ashok Vihar, Ashok Vihar",,5,300
Mahendra Sudh Khana,"North Indian, Beverages","Lajpat Nagar, Lajpat Nagar",,5,250
Home Food Kitchen,Indian,"Ashok Vihar,  Kanahaiya Nagar",,5,150
Khanna Juice Corner,"Beverages, Ice Cream","Krishna Nagar, Krishna Nagar",,5,150
Food Hub,"North Indian, Chinese","Ashok Vihar, Ashok Vihar",,5,300
Breakfast Corner,North Indian,"Chander Nagar, Krishna Nagar",,5,200
Ludo Lalit,"Chinese, American","Ashok Vihar, Ashok Vihar",,5,300
Chakhna Lo India,"Indian, Snacks","Kirti Nagar, Inderpuri",,5,350
Momos Hub,Chinese,"Ashok Vihar, Ashok Vihar",,5,300
Mahendra Sudh Khana,"North Indian, Beverages","Lajpat Nagar, Lajpat Nagar",,5,250
Home Food Kitchen,Indian,"Ashok Vihar,  Kanahaiya Nagar",,5,150
Khanna Juice Corner,"Beverages, Ice Cream","Krishna Nagar, Krishna Nagar",,5,150
Food Hub,"North Indian, Chinese","Ashok Vihar, Ashok Vihar",,5,300
Breakfast Corner,North Indian,"Chander Nagar, Krishna Nagar",,5,200
The Cake Store,Bakery,"Laxmi Nagar, Laxmi Nagar",,5,300
Jyoti Chaat Corner,Chaat,"Laxmi Nagar, Laxmi Nagar",,5,200
Delhi Zaika,Indian,"Laxmi Nagar, Krishna Nagar",,5,200
Shammi Bhai Lassi Wala,"Chinese, Snacks","Gtb Nagar, Gtb Nagar",,5,250
Guru Ji Rasoi,"North Indian, Chinese","Laxmi Nagar, Laxmi Nagar",,5,150
Chaykala,"North Indian, Fast Food","Lajpat Nagar, Lajpat Nagar",,5,200
Maa Ki Rasoi,Indian,"Laxmi Nagar, Laxmi Nagar",,5,200
Lizza'S Pizza,"Fast Food, Beverages","South Extension, South Extension",,5,250
Hum Sabki Rasoi,"North Indian, Chinese","Kirti Nagar, Kirti Nagar",,5,300
Singh Dhaba,"North Indian, Chinese","Kirti Nagar, Kirti Nagar",,5,250
Food Sip N Bite,Fast Food,"Ashok Vihar, Ashok Vihar",,5,300
Krishna Tiffin Service,Indian,"Ashok Vihar, Ashok Vihar",,5,250
Punjabi Shahi Veg Biryani,Biryani,"Laxmi Nagar, Laxmi Nagar",,5,200
Crispy Delight Bakers,Italian-American,"Laxmi Nagar, Laxmi Nagar",,5,250
Wack Waffles & Brownies,"Waffle, Bakery","Gtb Nagar, Gtb Nagar",,5,250
Panda Momos,"Chinese, Tibetan","Gtb Nagar, Gtb Nagar",,5,200
Desi Chaska,"Chinese, Snacks","Krishna Nagar, Krishna Nagar",,5,200
Chinese Food Plaza,Chinese,"Shahdara, Laxmi Nagar",,5,300
Jenny'S Brownies,"Bakery, Desserts","Gtb Nagar, Gtb Nagar",,5,250
Brijwasi Sweets Snacks,"Sweets, Desserts","Laxmi Nagar, Laxmi Nagar",,5,100
Foodooze By Platonic,"Chinese, North Indian","South Campus, South Campus",,5,300
Bakery 24/7,Indian,"Laxmi Nagar, Laxmi Nagar",,5,400
M/S. Punjabi Tadka,North Indian,"South Campus, South Campus",,5,300
Ashok Meat,North Indian,"Laxmi Nagar, Laxmi Nagar",,5,600
Bakery 24/7,Indian,"Laxmi Nagar, Laxmi Nagar",,5,400
M/S. Punjabi Tadka,North Indian,"South Campus, South Campus",,5,300
Ashok Meat,North Indian,"Laxmi Nagar, Laxmi Nagar",,5,600
Mani'S Chicken Inn,"North Indian, Chinese","Chwala Chicken Near Laxmi Nager, Geeta Colony Police Station Opposite",,5,200
Khichdi Paradise,"Healthy Food, Home Food","Gtb Nagar, Gtb Nagar",,5,250
Magic Pancakes,"Beverages, Desserts","Gtb Nagar, Gtb Nagar",,5,250
Chaimos (A Unit Of Qdm Group),"Chinese, Snacks","South Campus, South Campus",,5,200
Meatwale. Com,Snacks,"Krishna Nagar, Main Jheel Road, Krishna Nagar",,5,300
Dalgrak,Korean,"Lajpat Nagar, Lajpat Nagar",,5,700
The Bowl Club By Pind Balluchi,Indian,"Lajpat Nagar, Lajpat Nagar",,5,600
Winzo Foods,"North Indian, Snacks","South Campus, South Moti Bagh",,5,250
Delicious Dhaba,"North Indian, Chinese","Kirti Nagar, Kirti Nagar",,5,300
Sandwich Maniac,"Continental, Beverages","Uday Park, South Extension Ii",,5,300
Mahi Ka Restaurant ,Indian,"Arjun Nagar New Delhi, Hauz Khas",,5,300
Pind De Chur Chur Naan By Pind Balluchi,North Indian,"Lajpat Nagar, Lajpat Nagar",,5,600
Green Life Cafe,Healthy Food,"Kirti Nagar, Moti Nagar",,5,200
Sahil Restaurant,"Chinese, North Indian","South Extension, South Extension Ii",,5,300
Foodie Mania,Fast Food,"Hauz Khas, Hauz Khas",,5,350
The Rice & Noodle House,"Chinese, Asian","South Extension, South Extension",,5,400
Sharma Ji Ke Mashoor Chole Bhature,"North Indian, Chinese","South Extension, South Extension",,5,150
Mdh Masala Legendry Culinery Kitchen Since 1960,Indian,"Lajpat Nagar, Lajpat Nagar",,5,250
The Food Lover,Indian,"Lajpat Nagar, Lajpat Nagar",,5,250
Akib Chicken Biryani Point,"Biryani, Indian","South Extension, South Extension",,5,300
Tim Tim Foods,Pizzas,"Laxmi Nagar, Laxmi Nagar",,5,100
Innings Break Cafe,"Italian, Fast Food","Laxmi Nagar, Laxmi Nagar",,5,400
Cake Studio,Bakery,"South Extension, South Extension",,5,350
Chaap Story,"North Indian, Chinese","Laxmi Nagar, Laxmi Nagar",,5,500
Moolchandwala,"North Indian, Snacks","Lajpat Nagar, Lajpat Nagar",,5,250
Rajshrees Kitchen,"North Indian, Chinese","Laxmi Nagar, Laxmi Nagar",,5,500
Backstreet Cafe,"Italian, Fast Food","Laxmi Nagar, Laxmi Nagar",,5,300
Embassy Hudson,"Chinese, Pastas","Gtb Nagar, Gtb Nagar",,5,600
