Name,Cuisine,Location,rating,num_of_rating,price_for_two
My Hundred Rupee Meal,North Indian,"Lajpat Nagar 2, Lajpat Nagar",4.3,500,300
Shake Sahab,"Beverages, Desserts","Laxmi Nagar, Shahdara",4.3,20,200
Miami Waffles & Jawbreakers,"Waffle, Desserts","Gtb Nagar, Gtb Nagar",4.3,20,200
Chawla'S Junction,"Indian, Beverages","Laxmi Nagar, Krishna Nagar",4.3,20,300
Mad Over Donuts,"Desserts, Sweets","Jal Vihar Road, Lajpat Nagar",4.3,100,200
Dum Biryani By Kilos,Biryani,"Laxmi Nagar, Laxmi Nagar",4.3,20,150
Prince Momo Point,Closes Soonchinese,"Hudson Lane, Gtb Nagar",4.3,20,200
Zaika Muradabadi Chicken Restaurant,"Biryani, Fast Food","Lajpat Nagar, Lajpat Nagar",4.3,20,250
The Pasta Project,"Pastas, Italian","Lajpat Nagar, Lajpat Nagar",4.3,50,450
Baba'S,North Indian,"Greater Kailash 2, Lajpat Nagar",4.3,50,800
Oriental Mom,"Asian, Chinese","Mayur Vihar, Patparganj",4.3,100,600
Caterspoint,"Italian, Indian","Lajpat Nagar, Lajpat Nagar",4.3,500,600
Indian Masala Kitchen,"North Indian, Mughlai","South Extension, Defence Colony",4.3,20,300
Fat Wrap Fat Roll,"Snacks, Beverages","Lajpat Nagar, Lajpat Nagar",4.3,20,400
The Salt Cafe Kitchen & Bar,"North Indian, Chinese","Preet Vihar, Nirman Vihar",4.3,100,1000
Greenit,"Healthy Food, Salads","South Extension, South Extension",4.3,500,400
Moolchand Paratha (Moolchand Metro),"North Indian, Snacks","Moolchand Meetro Station, Lajpat Nagar",4.3,1000,200
Concept,"North Indian, Fast Food","Lajpat Nagar, Lajpat Nagar",4.3,1000,300
Onlinecake.In,Bakery,"Laxmi Nagar, Laxmi Nagar",4.3,20,500
Hishi Cafe,"Snacks, American","Jangpura, Jangpura",4.3,1000,200
Delhi Biryani Hut,"Biryani, Mughlai","Lajpat Nagar, Double Storey",4.3,20,200
Sushiya,Japanese,"Laxmi Nagar, Laxmi Nagar",4.3,100,1200
Chanakya Bar Be Que,"Indian, Seafood","South Campus, Chanakyapuri",4.3,20,600
The Cakewell Bakery,"Bakery, Desserts","Pillar 57, Laxmi Nagar",4.3,500,400
The Good Bowl,"North Indian, Punjabi","Laxmi Nagar, Shakarpur Khas",4.3,100,400
If Pizza,"Pizzas, Pastas","Ganesh Nagar, Pandav Nagar",4.3,100,200
Keventers - Milkshakes And Desserts,"Beverages, Ice Cream","East Patel Nagar, Patel Nagar",4.3,500,300
Subking,American,"Rajinder Nagar, Old Rajinder Nagar, Rajinder Nagar",4.3,500,300
L' Opera,"Bakery, Desserts","Khan Market, Khan Market",4.3,20,600
Camdin Patisserie And Boulangerie,"Bakery, Desserts","Rajinder Place, Old Rajinder Nagar, Rajinder Nagar",4.3,100,500
Yum Yum Cha,Japanese,"Khan Market, Rabindra Nagar",4.3,50,1800
Mehtas (Old Delhi Original),"Street Food, Desserts","Daryaganj, Daryaganj",4.3,50,150
Giani'S,"Ice Cream, Desserts","Pandara Road Market, Pandara Road",4.3,20,200
Shakahari Restaurant (Chawri Bazaar),"North Indian, Indian","Chawri Bazar Metro Station, Chandni Chowk",4.3,100,300
Bittu Ki Biryani,Biryani,"Karol Bagh, Karol Bagh",4.3,20,225
Bangla Sweet House,"Sweets, North Indian","Gole Market, Gole Market",4.3,100,150
Kaleva,"North Indian, Chinese","Gole Market, Connaught Place, Delhi",4.3,100,300
Cream Stone Ice Cream,"Ice Cream, Desserts","Paschim Vihar, Barakhamba",4.3,20,200
Ghee And Turmeric,"North Indian, Tandoor","Connaught Place 2 M Block, Connaught Place 2 M Block",4.3,100,500
Barista,"Beverages, Snacks","Regal Cinema Building, Connaught Place",4.3,20,350
Gulati (Pandara Road),Indian,"Khan Market, Pandara Road",4.3,100,1000
Khan Chacha,"North Indian, Kebabs","Cp D Block, Connaught Place",4.3,100,850
Haldiram'S,North Indian,"Connaught Place, Connaught Place",4.3,100,300
Radhey Shyam Subhash Kumar Special Chole Bhature,North Indian,"Paharganj, Ratan Lal Market, Paharganj",4.3,500,150
Burger King,American,"Inner Circle, Connaught Place",4.3,1000,350
Refections,"Juices, Beverages","Gautam Nagar, Gautam Nagar",4.2,100,250
Shri Hari Vegetarian Restaurant,Indian,"Lajpat Nagar, Lajpat Nagar",4.2,100,250
Punjab Grill - Urban Punjabi Dhaba,"North Indian, Chinese","Bhikaji Cama Place, Rama Krishna Puram",4.2,50,200
Indian Culinaire ,"North Indian, Chinese","Bhikaji Cama Place, Rama Krishna Puram",4.2,20,200
Homefood Company,North Indian,"Block O, Lajpat Nagar Ii, Lajpat Nagar",4.2,1000,250
Tuktuk - Asian On Wheels,"Chinese, Asian","South Extension, South Extension Ii",4.2,50,700
Juicy Lucy Burgers,"American, Fast Food","Kirti Nagar, Kirti Nagar",4.2,500,400
Oh! Pind,"North Indian, Chinese","Gtb Nagar, Gtb Nagar",4.2,50,500
Indus Flavour,"North Indian, Chinese","Gtb Nagar, G T Karnal Road",4.2,100,300
Xero Degrees,"North Indian, Chinese","Gtb Nagar, Vijay Nagar",4.2,50,250
Flavours By Itc Hotels,"Indian, European","South Campus, Chanakyapuri",4.2,20,1000
Kulfi Bistro (Box Of Delights),"Ice Cream, Desserts","Lajpat Nagar, Hauz Khas",4.2,50,150
Bistro Shakes 97,"Beverages, Juices","Vijay Nagar, Kalyan Vihar",4.2,20,150
Cake Palace,"Bakery, Desserts","South Extension 2, South Extension 2",4.2,500,400
Bistro Shakes 97,"Beverages, Juices","Vijay Nagar, Kalyan Vihar",4.2,20,150
Cake Palace,"Bakery, Desserts","South Extension 2, South Extension 2",4.2,500,400
"Classic Juice,Shakes & Mocktails",Beverages,"Vijay Nagar, Kalyan Vihar",4.2,50,150
Mazaar Restaurant,Afghani,"Lajpat Nagar, Lajpat Nagar",4.2,50,800
Shagun,"Chinese, Thai","Vijay Nagar, Hudson Lane",4.2,1000,300
Food Bus Of India,"Fast Food, Italian","Gtb Nagar, Gtb Nagar",4.2,50,500
Bengal Sweet Corner,"Sweets, Snacks","Safdarjung Enclave, Safdarjung Enclave",4.2,1000,350
Hong Kong Express,"Chinese, Thai","Dda Market, Lajpat Nagar",4.2,100,450
Parantha On Call,North Indian,"Laxmi Nagar, Laxmi Nagar",4.2,20,300
The Spicy No.1,"Biryani, Chinese","West Patel Nagar, West Patel Nagar",4.2,20,150
Bombay Bhelpuri,Street Food,"South Extension, South Extension I",4.2,100,100
Relax Restaurant,"North Indian, Chinese","Lajpat Nagar Market, Lajpat Nagar",4.2,100,400
Moonmoon - Juicy Crustwiches,"American, Snacks","Lajpat Nagar, Lajpat Nagar",4.2,100,300
Gupta'S Vegetarian Paradise,"Chinese, North Indian","South Extension, South Extension",4.2,50,250
Raju Chat Bhandar (Bharat Nagar),"Chaat, Snacks","Ashok Vihar, Ashok Vihar",4.2,50,400
Azuki - Soulful Asian Experience,Asian,"South Extension, South Extension",4.2,100,300
Badmash Biryani,"Biryani, North Indian","South Extension, South Extension",4.2,50,300
Mr Crust Bakers,"Desserts, Bakery","Gtb Nagar, Vijay Nagar",4.2,1000,400
Shack Foods,"Fast Food, Continental","Kotla Mubarakpur, South Extension I",4.2,100,250
Rolls Mania,"North Indian, Beverages","Laxmi Nagar, Laxmi Nagar",4.2,50,200
Bengali Sweet Center,"North Indian, South Indian","South Extension, South Extension I",4.2,500,450
Nagpal Di Hatti (Gandhi Nagar),North Indian,"Geeta Colony, Geeta Colony",4.2,500,200
Artiste Handcrafted Ice Cream,"Ice Cream, Desserts","Lajpat Nagar, Lajpat Nagar",4.2,20,300
Anna Dosa South Indian,"South Indian, North Indian","Lajpat Nagar, Lajpat Nagar",4.2,100,200
Moets Curry Leaf,"Mughlai, North Indian","Defence Colony, Defence Colony",4.2,100,1200
Mehfil,"Mughlai, Indian","Defence Colony, South Extension I",4.2,100,500
Defence Bakery,"Bakery, Desserts","Defence Colony, Defence Colony",4.2,100,500
Matka Cha Do Rusk By Cha Pata Tea,Fast Food,"Laxmi Nagar, Laxmi Nagar",4.2,20,150
Sri Balaji Anna Dosa,"South Indian, Indian","Lajpat Nagar, Lajpat Nagar",4.2,50,200
The Brooklyn Creamery - Healthy Ice Cream,"Desserts, Ice Cream","Laxmi Nagar, Shakarpur Khas",4.2,50,200
Rollz Karvaan,"Snacks, Fast Food","Malviya Nagar, Preet Vihar",4.2,50,300
Priyanshi South Indian Fast Foodpoint,"South Indian, North Indian","Laxmi Nagar, Laxmi Nagar",4.2,100,200
Nufeast,"Healthy Food, Salads","Karol Bagh, Rajinder Nagar",4.2,500,200
New Om Snacks,Street Food,"Karol Bagh, Krishna Nagar, Karol Bagh",4.2,100,100
Flavour Of Southvala Pvt Ltd,"South Indian, Chinese","Padam Singh Road, Karol Bagh",4.2,500,300
Grover Mithaivala (Rajinder Nagar),"Bakery, Sweets","Karol Bagh, Karol Bagh",4.2,500,300
Amma Mess,South Indian,"Karol Bagh, Karol Bagh",4.2,100,300
Ichiban,"Chinese, Thai","Pandara Road Market, Pandara Road",4.2,50,1500
Annakoot By Iskcon Bangalore,"Sweets, South Indian","Connaught Place, Mandi House",4.2,20,500
